VIV_SEL,HOGAR,ND_TIPO,BPCOD,R_SEL,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_20,BP1_23,BP1_31,BP1_35_1,BP1_35_2,BP1_35_3,BP1_35_4,BP1_35_5,BP1_35_6,BP1_35_7,BP1_35_8,BP1_35_9,BP1_35_10,BP1_35_11,BP1_35_99,BP1_36,BP1_37,BP1_38,FAC_DEL,DOM,EST,UPM,CLUSTERS
2,1,5,2,2,12,1,1,1,1,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76,1
3,1,1,8,2,10,1,1,2,2,1,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,378,1,3,76,1
5,1,1,2,1,6,1,1,4,1,2,1,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3000,0,189,1,3,76,1
5,1,1,6,1,11,1,1,9,4,2,1,1,2,99,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2000,0,378,1,3,76,1
3,1,1,3,1,2,1,1,3,2,1,1,1,1,4,2,1,1,1,1,0,0,0,1,0,0,0,0,3,2600,0,165,1,2,77,1
4,1,1,6,2,6,1,1,3,5,2,1,1,1,4,2,1,1,1,1,1,1,1,1,0,0,0,0,1,10000,0,495,1,2,77,1
5,1,1,12,1,9,1,1,3,1,2,1,1,2,4,2,0,0,1,0,0,1,1,1,1,0,0,0,3,0,0,165,1,2,77,1
1,1,1,5,2,12,1,1,1,3,2,1,1,2,4,2,0,0,1,0,0,0,0,1,0,0,0,0,1,5000,0,516,1,3,78,1
2,1,1,2,4,9,1,1,1,1,2,1,1,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1400,0,172,1,3,78,1
1,1,1,2,1,9,1,1,1,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,5000,0,178,1,2,79,1
1,1,1,6,1,9,1,1,9,4,2,1,1,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,5000,0,356,1,2,79,1
5,1,1,7,1,9,1,1,9,4,2,1,1,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,150000,0,178,1,2,79,1
2,1,1,6,1,10,1,1,2,4,2,1,1,2,4,2,1,1,1,1,0,0,0,1,0,0,0,0,1,8000,0,648,1,2,81,1
5,1,1,2,2,4,1,1,3,1,2,1,1,2,4,2,1,1,1,1,0,1,1,1,1,0,0,0,1,900,0,162,1,2,81,1
3,1,1,8,1,10,1,1,1,2,1,1,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,519,1,1,82,1
3,1,2,8,1,10,1,1,1,2,1,1,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,519,1,1,82,1
3,1,3,8,1,10,1,1,1,2,1,1,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,519,1,1,82,1
1,1,1,3,2,12,1,5,3,2,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,300,323,1,4,83,1
1,1,1,5,2,12,1,5,3,1,1,2,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,9999999,0,646,1,4,83,0
3,1,1,12,2,9,1,5,1,6,2,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,646,1,4,83,1
3,1,2,12,2,10,1,5,1,6,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,646,1,4,83,1
3,1,3,12,2,12,1,5,3,1,2,2,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,646,1,4,83,1
2,1,1,4,2,8,19,39,1,5,2,1,1,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,8000,0,642,1,3,84,1
4,1,1,7,1,9,1,1,2,1,2,1,1,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1800,0,181,1,1,85,1
3,1,1,2,2,10,1,1,2,1,2,1,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2000,0,197,1,2,87,1
3,1,1,3,2,8,1,1,2,2,2,1,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,25000,0,197,1,2,87,1
5,1,1,2,1,3,1,1,3,1,2,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3000,0,197,1,2,87,1
