VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,DOM,EST,UPM,EST_SOC
3,1,1,1,3,2,1,10,1,1,3,1,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115,1,6,40,3
2,1,1,1,4,2,1,3,1,1,4,2,1,1,4,2,1,4000,0,0,0,0,0,0,0,0,1,0,0,0,0,216,1,5,41,2
2,1,1,4,2,2,1,3,1,1,4,1,2,2,4,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1,5,41,2
2,1,2,4,2,2,1,4,1,1,4,1,2,2,4,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1,5,41,2
2,1,3,4,2,2,1,8,1,1,4,1,2,1,4,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1,5,41,2
2,1,4,4,2,2,1,12,1,1,4,1,2,2,8,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1,5,41,2
3,1,1,2,4,1,1,12,1,1,2,2,2,2,6,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,188,1,6,42,3
3,1,2,2,4,1,1,5,1,1,2,2,1,2,6,2,1,1800,0,0,0,1,0,0,0,0,1,1,0,0,0,188,1,6,42,3
4,1,1,1,4,2,1,3,1,1,4,2,1,2,5,2,1,20000,0,1,1,1,1,1,1,1,1,1,0,0,0,188,1,6,42,3
1,1,1,1,2,1,1,1,11,20,4,1,2,2,4,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,229,1,7,44,4
1,1,1,1,8,1,1,4,1,1,2,4,1,2,4,2,1,700,0,0,0,0,0,0,0,0,0,0,0,0,0,458,1,7,44,4
1,1,1,1,10,1,1,4,1,1,3,5,1,2,9,2,3,0,0,1,1,1,1,0,1,1,0,1,0,0,0,458,1,7,44,4
1,1,1,2,3,1,1,1,11,20,4,2,1,2,4,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,229,1,7,44,4
1,1,2,2,3,1,1,4,1,1,3,1,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,229,1,7,44,4
4,1,1,1,4,1,1,10,1,1,2,2,1,2,7,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,229,1,7,44,4
5,1,1,1,2,1,1,5,1,1,3,1,2,2,6,2,1,3000,0,0,1,0,1,0,0,0,1,0,0,0,0,229,1,7,44,4
3,1,1,1,3,2,1,1,1,1,4,2,1,2,5,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,194,1,6,46,3
5,1,1,2,9,1,1,9,1,1,2,2,1,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,1,6,46,3
5,1,2,2,9,1,1,99,1,1,2,2,1,2,7,2,3,0,0,1,1,1,1,0,1,1,1,1,0,0,0,388,1,6,46,3
4,1,1,1,5,3,1,11,1,1,3,1,1,2,6,2,2,500,0,0,0,0,0,0,0,0,0,1,0,0,0,400,1,5,47,2
1,1,1,1,3,2,1,7,1,1,4,2,1,2,9,2,1,200,0,0,0,0,0,0,0,0,0,1,0,0,0,157,1,6,49,3
3,1,1,1,9,2,1,8,1,1,1,2,1,2,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,314,1,6,49,3
3,1,1,2,2,2,1,2,1,1,2,1,2,2,6,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,6,49,3
3,1,2,2,2,2,1,11,1,1,3,1,2,2,6,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,6,49,3
4,1,1,2,2,2,1,6,1,1,4,1,1,2,7,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,6,49,3
4,1,2,2,2,2,1,10,1,1,2,1,2,2,4,2,1,1200,0,0,0,1,1,0,0,0,1,1,0,0,0,157,1,6,49,3
2,1,1,1,2,1,1,8,1,1,2,1,2,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,1,134,1,6,50,3
5,1,1,1,2,2,1,5,1,1,2,1,2,2,3,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,134,1,6,50,3
5,1,1,1,3,2,1,4,1,1,4,2,1,2,5,2,1,400,0,0,1,1,0,0,0,0,1,0,0,0,0,134,1,6,50,3
4,1,1,4,10,1,1,2,1,1,1,1,1,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,1,5,51,2
4,1,2,4,10,1,1,5,1,1,2,1,1,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,1,5,51,2
4,1,3,4,10,1,1,7,1,1,2,1,1,2,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,1,5,51,2
4,1,4,4,10,1,1,12,1,1,2,1,1,2,7,2,3,3000,0,1,1,1,1,0,1,1,1,1,0,0,0,558,1,5,51,2
4,1,1,1,3,2,1,2,1,1,1,2,1,2,7,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,248,1,6,52,3
4,1,1,1,3,3,1,11,1,1,4,2,1,2,6,2,1,500,0,0,0,0,1,0,0,0,0,0,0,0,0,151,1,6,54,3
1,1,1,1,2,4,1,4,1,1,3,1,2,2,3,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,146,1,6,55,3
1,1,1,5,3,4,1,1,1,1,3,2,1,2,4,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,6,55,3
1,1,2,5,3,4,1,2,1,1,3,2,1,2,3,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,6,55,3
1,1,3,5,3,4,1,3,1,1,3,2,1,2,3,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,6,55,3
