VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,EST_DIS,UPM_DIS,DOMINIO,ESTRATO,FAC_DEL_AM,CLUSTERS
3,1,1,1,10,3,14,1,3,1,1,2,1,1,2,6,2,5,4853,227,0,0,0,1,0,0,0,0,0,0,0,0,549,5,19,1,3,549,0
10,1,1,1,6,3,14,1,10,1,1,3,8,1,2,4,2,1,4000,0,1,0,1,0,0,0,0,0,0,0,0,0,456,2,275,2,3,0,0
16,1,1,1,4,3,14,1,3,1,1,1,2,2,2,5,2,5,4853,227,1,1,1,1,1,1,1,1,1,0,0,0,156,3,291,3,2,0,0
1,1,1,2,5,2,14,1,5,1,1,3,1,1,2,5,2,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,384,6,237,1,4,384,0
12,1,1,1,8,1,14,1,1,1,1,1,4,1,2,4,2,1,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,304,2,275,2,3,0,0
4,1,1,2,5,4,14,1,4,1,1,3,5,1,2,4,2,1,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,700,5,173,1,3,696,0
1,1,1,1,3,2,14,1,10,1,1,4,2,1,2,3,2,5,4853,227,0,0,1,0,0,0,0,0,0,0,0,0,189,4,206,1,2,188,0
3,1,1,1,7,2,14,1,8,1,1,4,1,1,2,3,2,1,30000,0,0,0,0,0,0,0,0,1,0,0,0,0,320,4,17,1,2,316,0
3,1,1,1,2,2,14,1,6,1,1,3,1,2,2,6,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,160,4,17,1,2,158,0
1,1,1,1,6,4,14,1,7,1,1,2,1,2,2,9,2,1,1200,0,0,0,0,0,0,0,0,0,0,1,0,0,740,4,207,1,2,736,0
3,1,1,2,3,3,14,1,5,1,1,4,1,1,2,3,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,187,5,157,1,3,188,0
2,1,1,1,10,1,14,1,8,1,1,1,1,1,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,320,4,17,1,2,316,0
2,1,1,1,9,2,14,1,12,1,1,1,2,1,1,4,2,5,4853,227,1,1,0,1,0,1,0,0,1,0,0,0,915,5,158,1,3,910,0
3,1,1,1,7,3,14,1,7,1,1,9,9,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,1,0,0,0,0,664,5,34,1,3,660,0
5,1,1,1,2,1,14,1,6,1,1,3,1,2,2,7,2,1,2500,0,0,0,0,1,0,0,0,1,0,0,0,0,199,5,75,1,3,196,0
5,1,1,1,2,2,14,1,11,1,1,3,1,2,2,6,2,1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,162,5,18,1,3,163,0
4,1,1,1,3,2,14,1,6,1,1,3,2,1,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,5,19,1,3,183,0
2,1,1,1,2,2,14,1,9,1,1,4,1,2,1,4,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,174,4,239,1,2,173,0
5,1,1,1,11,1,14,1,8,1,1,3,1,1,2,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,302,4,249,1,2,297,0
1,1,2,3,3,2,14,1,7,1,1,4,1,1,2,5,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,174,5,151,1,3,174,0
4,1,1,1,4,1,14,1,6,1,1,1,2,1,2,6,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,178,4,90,1,2,178,0
4,1,2,3,3,4,14,1,7,1,1,3,2,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,175,5,173,1,3,174,0
1,1,1,3,3,3,14,1,4,1,1,4,1,1,2,5,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5,162,1,3,192,0
1,1,3,3,3,2,14,1,8,1,1,4,1,1,2,5,2,1,200,0,0,0,0,0,0,0,0,0,1,0,0,0,174,5,151,1,3,174,0
